序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,300912,凯龙高科,34.3,20.01%,2.03%,0.00,5989.58万,-5989.58万,5989.58万
2,301312,智立方,80.33,20.00%,16.49%,4.10亿,3.29亿,8043.14万,7.39亿
3,300461,田中精机,50.57,20.00%,10.93%,4.00亿,3.52亿,4719.23万,7.52亿
4,300264,佳创视讯,8.08,17.27%,28.24%,5.05亿,2.76亿,2.29亿,7.96亿
5,300953,震裕科技,176.55,13.39%,9.02%,12.48亿,6.61亿,5.87亿,19.10亿
6,301268,铭利达,22.57,13.36%,4.86%,2.26亿,1.41亿,8511.62万,3.67亿
7,300158,振东制药,6.5,13.24%,16.63%,6.31亿,4.37亿,1.95亿,10.76亿
8,688530,欧莱新材,28.91,12.93%,35.61%,3.58亿,3.28亿,2937.19万,6.86亿
9,301636,泽润新能,103.89,12.19%,53.77%,4.22亿,4.25亿,-269.72万,8.47亿
10,300927,江天化学,36.68,11.66%,21.18%,5.45亿,5.53亿,-790.68万,10.98亿
11,301529,福赛科技,140.99,11.54%,13.41%,4.99亿,3.37亿,1.62亿,8.36亿
12,300483,首华燃气,17.08,10.98%,14.52%,4.60亿,2.95亿,1.65亿,7.56亿
13,300617,安靠智电,49.01,10.56%,12.60%,5.03亿,3.38亿,1.64亿,8.41亿
14,688275,万润新能,86.5,10.26%,11.48%,5.03亿,3.23亿,1.80亿,8.26亿
15,000056,皇庭国际,2.28,10.14%,15.78%,1.26亿,1.94亿,-6778.97万,3.21亿
16,688428,诺诚健华,24.02,10.13%,8.82%,3.25亿,2.31亿,9406.06万,5.56亿
17,002506,协鑫集成,4.58,10.10%,30.24%,40.49亿,34.29亿,6.20亿,74.98亿
18,600722,金牛化工,8.64,10.06%,11.17%,3.30亿,3.01亿,2958.91万,6.31亿
19,002519,银河电子,9.52,10.06%,25.43%,12.34亿,13.13亿,-7928.30万,25.57亿
20,002634,棒杰股份,6.9,10.05%,3.24%,2797.39万,6925.67万,-4128.28万,9884.17万
21,002728,特一药业,13.15,10.04%,13.86%,4959.06万,6.34亿,-5.84亿,6.87亿
22,002361,神剑股份,15.24,10.04%,37.84%,22.50亿,21.83亿,6722.00万,44.33亿
23,002015,协鑫能科,12.06,10.04%,6.05%,6.81亿,4.59亿,2.22亿,11.41亿
24,603876,鼎胜新材,17.77,10.03%,4.32%,4.06亿,2.82亿,1.24亿,6.88亿
25,603618,杭电股份,13.71,10.03%,18.02%,7.46亿,9.05亿,-1.60亿,16.51亿
26,600884,杉杉股份,14.37,10.03%,9.84%,14.84亿,10.45亿,4.39亿,25.28亿
27,003018,金富科技,20.54,10.02%,2.34%,0.00,4661.61万,-4661.61万,4713.38万
28,002207,准油股份,10.32,10.02%,23.04%,3.38亿,2.48亿,8967.83万,5.86亿
29,603607,京华激光,25.47,10.02%,8.22%,1.85亿,1.79亿,596.73万,3.64亿
30,603138,海量数据,18.22,10.02%,12.93%,2.70亿,3.93亿,-1.23亿,6.63亿
31,600686,金龙汽车,19.21,10.02%,5.11%,3.59亿,3.27亿,3190.03万,6.86亿
32,600230,沧州大化,21.63,10.02%,8.12%,3.99亿,2.95亿,1.04亿,6.94亿
33,002957,科瑞技术,28.78,10.02%,9.22%,5.72亿,4.91亿,8050.22万,10.63亿
34,002326,永太科技,28.77,10.02%,12.55%,14.49亿,13.88亿,6174.50万,28.37亿
35,603667,五洲新春,85.65,10.01%,12.85%,19.49亿,19.61亿,-1204.10万,39.09亿
36,600345,长江通信,40.0,10.01%,15.16%,5.12亿,7.45亿,-2.33亿,12.57亿
37,002842,翔鹭钨业,28.46,10.01%,20.77%,8.56亿,6.78亿,1.78亿,15.35亿
38,002830,名雕股份,30.65,10.01%,38.19%,4.27亿,2.91亿,1.35亿,7.19亿
39,002624,完美世界,19.57,10.01%,5.87%,9.47亿,10.55亿,-1.08亿,20.07亿
40,002150,正泰电源,25.73,10.00%,5.75%,2.75亿,2.38亿,3724.81万,5.12亿
41,001360,南矿集团,25.52,10.00%,11.86%,4798.06万,1.95亿,-1.47亿,2.43亿
42,603881,数据港,39.16,10.00%,14.52%,16.53亿,22.90亿,-6.38亿,39.43亿
43,603823,百合花,18.48,10.00%,2.51%,8620.63万,9769.24万,-1148.61万,1.84亿
44,600814,杭州解百,10.78,10.00%,9.42%,1917.38万,7.27亿,-7.08亿,7.46亿
45,600759,洲际油气,5.5,10.00%,20.85%,24.21亿,20.03亿,4.18亿,44.23亿
46,002943,宇晶股份,84.36,10.00%,16.61%,9.49亿,9.70亿,-2119.80万,19.19亿
47,002921,联诚精密,25.73,10.00%,4.24%,6106.48万,7591.04万,-1484.56万,1.37亿
48,002812,恩捷股份,57.44,10.00%,6.47%,17.64亿,11.71亿,5.94亿,29.46亿
49,002412,汉森制药,7.59,10.00%,15.93%,1.99亿,3.98亿,-1.98亿,5.97亿
50,002339,积成电子,12.76,10.00%,13.51%,3.54亿,4.52亿,-9825.51万,8.06亿
51,002155,湖南黄金,35.98,10.00%,13.90%,34.68亿,39.92亿,-5.24亿,74.60亿
52,002112,三变科技,25.41,10.00%,24.14%,7.22亿,8.25亿,-1.03亿,15.47亿
53,002009,天奇股份,31.68,10.00%,21.55%,12.82亿,10.34亿,2.48亿,23.16亿
54,605488,福莱新材,43.05,9.99%,7.07%,3.79亿,4.26亿,-4698.82万,8.04亿
55,603663,三祥新材,42.93,9.99%,3.67%,3.27亿,3.11亿,1548.73万,6.38亿
56,603626,科森科技,24.23,9.99%,7.85%,4.54亿,5.59亿,-1.06亿,10.13亿
57,002772,众兴菌业,18.39,9.99%,6.05%,2.05亿,2.15亿,-1048.91万,4.21亿
58,002759,天际股份,40.29,9.99%,15.08%,14.73亿,14.97亿,-2430.50万,29.75亿
59,002440,闰土股份,13.21,9.99%,9.12%,5.18亿,5.94亿,-7593.49万,11.12亿
60,002345,潮宏基,13.56,9.98%,4.68%,2.76亿,2.60亿,1635.89万,5.35亿
61,603331,百达精工,17.75,9.98%,14.77%,2.40亿,2.71亿,-3157.85万,5.11亿
62,002455,百川股份,11.14,9.97%,25.15%,7.29亿,6.81亿,4847.90万,14.10亿
63,000767,晋控电力,3.42,9.97%,11.93%,3.93亿,7.73亿,-3.80亿,11.68亿
64,003041,真爱美家,63.35,9.96%,9.39%,2.96亿,5.03亿,-2.06亿,8.03亿
65,002099,海翔药业,7.51,9.96%,6.25%,3.08亿,4.27亿,-1.19亿,7.35亿
66,002054,德美化工,10.05,9.96%,18.94%,2.97亿,4.21亿,-1.24亿,7.19亿
67,002072,凯瑞德,8.4,9.95%,5.97%,7261.08万,1.06亿,-3288.99万,1.78亿
68,603616,韩建河山,8.29,9.95%,16.87%,7562.56万,4.60亿,-3.85亿,5.36亿
69,603959,百利科技,6.41,9.95%,9.87%,1.44亿,1.61亿,-1684.99万,3.05亿
70,600987,航民股份,8.29,9.95%,5.63%,1.58亿,3.09亿,-1.51亿,4.66亿
71,301292,海科新源,57.4,9.94%,26.05%,7.32亿,5.15亿,2.17亿,12.46亿
72,600063,皖维高新,7.3,9.94%,5.27%,4.13亿,3.61亿,5218.71万,7.74亿
73,688277,天智航,27.05,9.83%,6.09%,4.24亿,3.02亿,1.23亿,7.26亿
74,300164,通源石油,12.64,9.72%,39.32%,15.45亿,12.19亿,3.26亿,28.03亿
75,002378,章源钨业,24.63,9.22%,10.70%,19.29亿,11.53亿,7.76亿,30.82亿
76,000415,渤海租赁,5.21,9.22%,4.83%,8.95亿,4.22亿,4.73亿,13.22亿
77,688312,燕麦科技,49.8,9.21%,10.45%,3.90亿,3.49亿,4107.10万,7.39亿
78,301387,光大同创,62.56,9.18%,15.27%,2.23亿,1.82亿,4082.90万,4.04亿
79,300666,江丰电子,123.61,8.93%,19.26%,27.55亿,23.94亿,3.61亿,51.49亿
80,688726,拉普拉斯,72.5,8.76%,15.12%,13.03亿,10.25亿,2.78亿,23.27亿
81,603730,岱美股份,10.87,8.70%,3.02%,3.75亿,3.16亿,5857.79万,6.91亿
82,603958,哈森股份,21.94,8.67%,11.22%,2.92亿,2.39亿,5341.03万,5.31亿
83,301004,嘉益股份,56.27,8.52%,2.58%,1.22亿,7084.40万,5104.18万,1.93亿
84,301040,中环海陆,37.99,8.48%,21.52%,4.10亿,3.67亿,4294.79万,7.78亿
85,300812,易天股份,32.43,8.28%,25.02%,4.10亿,3.25亿,8541.73万,7.35亿
86,688516,奥特维,117.8,8.09%,7.78%,14.63亿,13.04亿,1.59亿,27.67亿
87,002916,深南电路,243.47,8.09%,3.21%,23.61亿,27.65亿,-4.03亿,51.55亿
88,002342,巨力索具,20.4,8.05%,42.12%,38.35亿,43.35亿,-5.00亿,81.70亿
89,601869,长飞光纤,174.77,8.04%,5.22%,16.94亿,20.08亿,-3.13亿,37.02亿
90,603232,格尔软件,27.08,7.97%,25.23%,7.81亿,7.83亿,-287.60万,15.64亿
91,301550,斯菱智驱,178.0,7.94%,9.99%,12.72亿,11.80亿,9164.10万,24.52亿
92,603755,日辰股份,38.81,7.90%,5.21%,1.22亿,7255.28万,4935.66万,1.94亿
93,001209,洪兴股份,24.8,7.87%,19.89%,2.71亿,1.74亿,9695.33万,4.54亿
94,601231,环旭电子,36.5,7.83%,3.36%,15.09亿,14.10亿,9867.10万,29.20亿
95,301036,双乐股份,36.2,7.71%,19.43%,2.94亿,2.07亿,8696.28万,5.01亿
96,000973,佛塑科技,12.91,7.67%,11.82%,8.15亿,6.42亿,1.73亿,14.64亿
97,002082,万邦德,16.74,7.51%,4.02%,2.14亿,1.52亿,6266.62万,3.66亿
98,688651,盛邦安全,50.6,7.27%,10.57%,8867.68万,8172.97万,694.71万,1.70亿
99,688202,美迪西,70.0,7.20%,6.30%,3.67亿,2.10亿,1.57亿,5.77亿
100,300843,胜蓝股份,58.16,7.15%,10.98%,5.26亿,4.69亿,5752.51万,9.95亿
101,301331,恩威医药,31.3,7.08%,6.78%,1.16亿,1.05亿,1110.37万,2.22亿
102,301018,申菱环境,72.01,6.95%,9.63%,8.31亿,5.37亿,2.93亿,13.68亿
103,603381,永臻股份,25.72,6.94%,16.41%,3.39亿,2.51亿,8863.46万,5.90亿
104,300044,ST赛为,6.93,6.94%,8.73%,2.50亿,1.67亿,8237.31万,4.22亿
105,600331,宏达股份,17.45,6.86%,5.67%,11.98亿,7.57亿,4.41亿,19.54亿
106,002240,盛新锂能,36.44,6.83%,5.92%,11.65亿,7.58亿,4.07亿,19.24亿
107,001203,大中矿业,30.21,6.79%,2.96%,6.89亿,4.70亿,2.19亿,11.66亿
108,688367,工大高科,40.3,6.75%,6.24%,1.42亿,7553.32万,6683.13万,2.18亿
109,300338,ST开元,4.11,6.75%,8.25%,6592.10万,5216.71万,1375.39万,1.18亿
110,300572,安车检测,30.5,6.72%,9.94%,3.24亿,2.35亿,8865.40万,5.59亿
111,001896,豫能控股,6.51,6.72%,5.29%,3.14亿,2.06亿,1.07亿,5.20亿
112,603016,新宏泰,35.5,6.70%,4.46%,1.25亿,1.04亿,2037.87万,2.29亿
113,301322,绿通科技,30.16,6.65%,5.19%,8800.94万,5210.66万,3590.28万,1.40亿
114,688529,豪森智能,20.38,6.65%,3.41%,6849.26万,4697.68万,2151.58万,1.15亿
115,688293,奥浦迈,55.9,6.64%,2.48%,9794.79万,6002.74万,3792.05万,1.58亿
116,002259,升达林业,6.29,6.61%,9.22%,2.43亿,1.87亿,5517.67万,4.31亿
117,603629,利通电子,46.01,6.60%,21.75%,12.58亿,12.65亿,-727.80万,25.23亿
118,301150,中一科技,41.58,6.48%,5.77%,3.35亿,1.95亿,1.40亿,5.30亿
119,688386,泛亚微透,97.3,6.47%,3.75%,1.78亿,1.46亿,3183.78万,3.24亿
120,301285,鸿日达,74.44,6.46%,6.67%,2.25亿,1.58亿,6699.17万,3.84亿
121,603578,三星新材,16.22,6.36%,4.83%,7301.89万,6456.07万,845.82万,1.38亿
122,300191,潜能恒信,33.1,6.29%,14.86%,5.51亿,5.00亿,5151.59万,10.68亿
123,600352,浙江龙盛,14.95,6.18%,4.38%,12.04亿,9.18亿,2.86亿,21.22亿
124,002709,天赐材料,41.78,6.18%,5.92%,22.30亿,14.28亿,8.02亿,36.85亿
125,301501,恒鑫生活,44.96,6.16%,13.75%,1.44亿,8240.35万,6170.10万,2.27亿
126,603916,苏博特,12.55,6.09%,11.75%,2.70亿,3.56亿,-8587.13万,6.27亿
